  PID              START                END PRT  RES PRES REF SHD FLAG TP PATH
  925           0x400000          0x105c000 r-x 1824 2023   2   1 CN-- vn /root/yz70/qemu/build/aarch64-softmmu/qemu-system-aarch64
  925          0x125c000          0x1352000 rw-  190    0   1   0 C--- vn /root/yz70/qemu/build/aarch64-softmmu/qemu-system-aarch64
  925          0x1352000          0x138b000 rw-   26 62920   3   0 ---- df
  925          0x138b000         0x3338a000 rwx 62894 62920   3   0 --s- df
  925         0x3338a000         0x3338b000 ---    0 62920   3   0 ---- df
  925        0x80125c000        0x80127c000 r-x   32   32  24   0 CN-- vn /libexec/ld-elf.so.1
  925        0x80127c000        0x801285000 rw-    9    9   1   0 ---- df
  925        0x801285000        0x8012c7000 rw-   65   68   6   0 ---- df
  925        0x8012c7000        0x8012c8000 ---    0   68   6   0 ---- df
  925        0x8012c8000        0x8013c8000 rw-    1   68   6   0 ---- df
  925        0x8013c8000        0x8013c9000 rw-    1    1   1   0 ---- df
  925        0x8013c9000        0x8013ca000 ---    0   68   6   0 ---- df
  925        0x8013ca000        0x8013cb000 rw-    1    1   1   0 ---- df
  925        0x8013cb000        0x8013cc000 ---    0   68   6   0 ---- df
  925        0x8013cc000        0x8013ce000 rw-    2   68   6   0 ---- df
  925        0x80147b000        0x80147d000 rw-    2    2   1   0 ---- df
  925        0x80147d000        0x801492000 r-x   21   22   2   1 CN-- vn /usr/lib/libusb.so.3
  925        0x801492000        0x801692000 ---    0    0   0   0 CN-- --
  925        0x801692000        0x801693000 rw-    1    0   1   0 C--- vn /usr/lib/libusb.so.3
  925        0x801693000        0x8016ed000 r-x   90   94  10   5 CN-- vn /lib/libncursesw.so.8
  925        0x8016ed000        0x8018ec000 ---    0    0   0   0 CN-- --
  925        0x8018ec000        0x8018f1000 rw-    5    0   1   0 C--- vn /lib/libncursesw.so.8
  925        0x8018f1000        0x8018f2000 rw-    0    0   0   0 ---- --
  925        0x8018f2000        0x8019eb000 r-x   32   42   2   1 CN-- vn /usr/local/lib/libiconv.so.2.5.1
  925        0x8019eb000        0x801beb000 ---    0    0   0   0 CN-- --
  925        0x801beb000        0x801bed000 rw-    2    0   1   0 C--- vn /usr/local/lib/libiconv.so.2.5.1
  925        0x801bed000        0x801bf9000 r-x   12   13  14   7 CN-- vn /usr/lib/libpam.so.6
  925        0x801bf9000        0x801df9000 ---    0    0   0   0 CN-- --
  925        0x801df9000        0x801dfa000 rw-    1    0   1   0 C--- vn /usr/lib/libpam.so.6
  925        0x801dfa000        0x801e12000 r-x   24   24  10   5 CN-- vn /lib/libz.so.6
  925        0x801e12000        0x802011000 ---    0    0   0   0 CN-- --
  925        0x802011000        0x802012000 rw-    1    0   1   0 C--- vn /lib/libz.so.6
  925        0x802012000        0x80219a000 r-x   81   99   2   1 CN-- vn /usr/local/lib/libxml2.so.2.9.7
  925        0x80219a000        0x802399000 ---    0    0   0   0 CN-- --
  925        0x802399000        0x8023a4000 rw-   11    0   1   0 C--- vn /usr/local/lib/libxml2.so.2.9.7
